st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Rangpur,2013,11,30.4,16.3,0.0,77.0,2.0,0.9,7.7
Rangpur,2013,12,28.7,13.7,0.0,81.0,1.8,1.2,3.6
Sandwip,2013,1,30.4,11.5,0.0,74.0,1.5,0.6,6.8
Sandwip,2013,2,33.7,15.5,0.0,69.0,1.8,1.4,7.9
Sandwip,2013,3,34.6,20.1,0.0,77.0,1.8,1.4,8.3
Sandwip,2013,4,35.2,24.1,52.0,77.0,2.3,3.0,7.6
Sandwip,2013,5,33.5,24.6,570.0,86.0,2.7,5.7,3.0
Sandwip,2013,6,36.1,26.2,560.0,84.0,2.0,5.4,6.3
Sandwip,2013,7,33.9,25.9,441.0,86.0,2.1,5.6,4.9
Sandwip,2013,8,33.3,25.5,746.0,88.0,1.7,6.1,3.3
Sandwip,2013,9,35.6,25.5,573.0,88.0,1.3,5.3,4.1
Sandwip,2013,10,35.1,24.2,241.0,87.0,1.0,4.9,4.7
Sandwip,2013,11,32.8,18.4,0.0,81.0,1.0,1.4,8.9
Sandwip,2013,12,31.0,15.0,0.0,83.0,1.3,0.9,7.3
Satkhira,2013,1,28.0,11.3,5.0,76.0,2.0,0.6,5.7
Satkhira,2013,2,32.2,15.1,12.0,72.0,2.3,1.5,7.3
Satkhira,2013,3,36.6,20.5,37.0,71.0,2.2,1.3,7.9
Satkhira,2013,4,38.0,24.4,29.0,71.0,2.3,2.4,8.2
Satkhira,2013,5,37.2,25.4,310.0,81.0,2.8,5.5,5.1
Satkhira,2013,6,36.4,27.0,245.0,81.0,1.7,4.9,5.3
Satkhira,2013,7,34.6,26.8,266.0,84.0,1.7,5.1,4.7
Satkhira,2013,8,34.0,26.6,215.0,85.0,1.7,5.3,4.2
